movie_ID,title,genre,running_time,netizen_ratings,num_reviews,num_article,country,rating,companyNm,released_year,released_month,num_viewers
20090888,용서는 없다,범죄,125,7.62,4445,1082,한국,청소년관람불가,(주)시네마서비스,2010,1,1144238
20090890,아빠가 여자를 좋아해,멜로/로맨스,113,7.88,1450,669,한국,12세이상관람가,(주)쇼박스,2010,1,177535
20090892,웨딩드레스,드라마,110,9.11,2255,692,한국,전체관람가,(주)싸이더스,2010,1,146148
20090894,사랑은 너무 복잡해,멜로/로맨스,120,8.65,553,61,미국,청소년관람불가,유니버설픽쳐스인터내셔널 코리아(유),2010,3,238073
20090895,주유소 습격사건 2,액션,111,4.66,2881,1083,한국,15세이상관람가,(주)시네마서비스,2010,1,742475
20090897,꼬마 니콜라,가족,91,8.93,1590,41,프랑스,전체관람가,(주)프라임엔터테인먼트,2010,1,199851
20090904,의형제,드라마,116,8.87,14331,4032,한국,15세이상관람가,(주)쇼박스,2010,2,5507106
20090913,들어는 봤니? 모건 부부,코미디,103,6.66,307,29,미국,15세이상관람가,한국소니픽쳐스릴리징브에나비스타영화㈜,2010,1,115454
20090916,8인: 최후의 결사단,액션,138,6.62,1273,24,중국,15세이상관람가,씨제이엔터테인먼트,2010,1,116788
20090921,엣지 오브 다크니스,범죄,104,7.77,1768,75,영국,15세이상관람가,(주)넥스트엔터테인먼트월드(NEW),2010,6,197296
20090923,퍼시 잭슨과 번개 도둑,판타지,118,6.48,6210,131,미국,12세이상관람가,이십세기폭스코리아(주),2010,2,1877226
20090929,울프맨,공포(호러),102,4.77,817,26,미국,청소년관람불가,유니버설픽쳐스인터내셔널 코리아(유),2010,2,270683
20090930,이상한 나라의 앨리스,판타지,108,7.53,5876,1558,미국,전체관람가,한국소니픽쳐스릴리징브에나비스타영화㈜,2010,3,2182365
20090931,구르믈 버서난 달처럼,사극,111,6.85,4906,2506,한국,15세이상관람가,에스케이텔레콤(주),2010,4,1407681
20090932,데이브레이커스,액션,98,7.2,1225,26,미국,청소년관람불가,(주)성원아이컴,2010,3,137955
20090933,아이언맨 2,SF,125,7.35,6520,594,미국,12세이상관람가,씨제이엔터테인먼트,2010,4,4498335
